foodid,annotated_food_name,dietary_supplement_cat,dietary_supplement_subcat,breakfast_cereal_cat,breakfast_cereal_subcat,side_dish_cat,side_dish_subcat,condiment_cat,condiment_subcat,beverage_cat,beverage_subcat,snack_cat,snack_subcat,dessert_cat,dessert_subcat,fast_food_brand_cat,fast_food_brand_subcat,snack_brand_cat,snack_brand_subcat,herb_spice_cat,herb_spice_subcat,staple_cat,staple_subcat,meat_cat,meat_subcat,egg_dairy_cat,egg_dairy_subcat,vegetable_cat,vegetable_subcat,mushroom_cat,mushroom_subcat,fruit_cat,fruit_subcat,nut_seed_cat,nut_seed_subcat,bean_legume_cat,bean_legume_subcat,preparation_cat,preparation_subcat,volume_q,volume_unit,mass_q,mass_unit,length_q,length_unit,serving_q,serving_unit,calories,fat,carbs,sodium,potassium,fiber,sugar,protein,calcium,iron
10,"{""snack__snack__trail_mix"": 1, ""snack__snack"": 1, ""snack"": 1, ""fruit"": 1, ""fruit__berry__cranberry"": 1, ""fruit__berry"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,300,14,42,-,-,-,-,6,-,-
11,"{""vegetable__leafy_salad"": 1, ""vegetable"": 1, ""vegetable__fruits__tomato"": 1, ""vegetable__leafy_salad__grape"": 1, ""vegetable__fruits"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,0,8,-,-,-,-,2,-,-
12,"{""herb_spice__peppers"": 1, ""fruit"": 1, ""fruit__tropical__orange"": 1, ""herb_spice"": 1, ""herb_spice__peppers__pepper"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,peppers,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,-,-,112.61,gram,-,-,-,-,39,0,8,-,-,-,-,1,-,-
13,"{""vegetable"": 1, ""vegetable__vegetables"": 1, ""vegetable__fruits__cucumber"": 1, ""vegetable__vegetables__vegetable"": 1, ""vegetable__fruits"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,-,-,-,-,53.00,gram,-,-,-,-,8,0,2,-,-,-,-,1,-,-
14,"{""preparation__dry"": 1, ""meat__pork__pork"": 1, ""meat"": 1, ""preparation"": 1, ""meat__pork"": 1, ""preparation__dry__roasted"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,pork,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,140.00,gram,-,-,-,-,347,21,0,-,-,-,-,38,-,-
15,"{""side_dish__salad__salad"": 1, ""condiment__condiment"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""condiment"": 1, ""condiment__condiment__balsamic_vinaigrette"": 1}",-,-,-,-,side_dish,salad,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.57,milliliter,-,-,-,-,-,-,60,5,3,-,-,-,-,0,-,-
16,"{""egg_dairy"": 1, ""herb_spice__spices__berry"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""herb_spice"": 1, ""herb_spice__spices"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,spices,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.00,gram,-,-,1.00,bar,190,9,17,-,-,-,-,10,-,-
17,"{""snack__snack__trail_mix"": 1, ""snack__snack"": 1, ""snack"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.00,gram,-,-,1.00,package,280,19,23,-,-,-,-,10,-,-
18,"{""egg_dairy"": 1, ""egg_dairy__dairy_product"": 1, ""egg_dairy__dairy_product__cheese"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,80,0,5,-,-,-,-,14,-,-
19,"{""fruit"": 1, ""fruit__tropical__banana"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,-,-,-,-,4.00,inch,-,-,84,0,28,-,-,-,-,0,-,-
20,"{""meat"": 1, ""staple__rice__pho"": 1, ""staple__rice"": 1, ""meat__poultry"": 1, ""staple"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,rice,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,591.47,milliliter,-,-,-,-,-,-,390,6,58,-,-,-,-,25,-,-
21,"{""snack_brand__snack_brand__oreo"": 1, ""snack_brand"": 1, ""snack_brand__snack_brand"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,snack_brand,snack_brand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.00,gram,-,-,27.00,piece,390,18,63,-,-,-,-,3,-,-
22,"{""herb_spice"": 1, ""herb_spice__spices"": 1, ""herb_spice__spices__vanilla"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,spices,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150.25,gram,-,-,-,-,120,0,16,-,-,-,-,13,-,-
23,"{""staple__wheat"": 1, ""meat"": 1, ""staple__wheat__flatbread"": 1, ""meat__poultry__chicken"": 1, ""staple__wheat__sandwich"": 1, ""staple"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,sandwich,360,17,38,-,-,-,-,9,-,-
24,"{""snack__snack__potato_chip"": 1, ""snack__snack"": 1, ""snack"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.18,gram,-,-,-,-,150,8,17,-,-,-,-,2,-,-
25,"{""staple__wheat"": 1, ""staple"": 1, ""staple__wheat__bread"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,453.59,gram,-,-,-,-,210,0,34,-,-,-,-,14,-,-
26,"{""staple__wheat"": 1, ""meat"": 1, ""meat__poultry__wing"": 1, ""staple__wheat__pizza"": 1, ""fast_food_brand"": 1, ""fast_food_brand__fast_food__domino"": 1, ""meat__poultry__chicken"": 1, ""fast_food_brand__fast_food"": 1, ""staple"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,-,-,staple,wheat,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.00,wing,380,26,5,-,-,-,-,34,-,-
27,"{""fruit__temperate"": 1, ""egg_dairy"": 1, ""fruit__temperate__peach"": 1, ""fruit"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,fruit,temperate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140,0,20,-,-,-,-,14,-,-
28,"{""fast_food_brand"": 1, ""fast_food_brand__fast_food"": 1, ""fast_food_brand__fast_food__starbucks"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,package,380,19,37,-,-,-,-,13,-,-
29,"{""beverage__fruit_juice"": 1, ""beverage__fruit_juice__orange_juice"": 1, ""beverage"": 1, ""beverage__soft_drink__tropicana"": 1, ""beverage__soft_drink"": 1}",-,-,-,-,-,-,-,-,beverage,soft_drink,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177.44,milliliter,-,-,-,-,-,-,83,0,20,-,-,-,-,2,-,-
30,"{""staple__wheat__croissant"": 1, ""staple__wheat"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,croissant,259,15,26,-,-,-,-,4,-,-
31,"{""staple__banana"": 1, ""staple"": 1, ""staple__banana__plantain"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,banana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.35,gram,-,-,-,-,170,8,20,-,-,-,-,0,-,-
32,"{""breakfast_cereal__breakfast_cereal__cereal"": 1, ""breakfast_cereal__breakfast_cereal"": 1, ""breakfast_cereal"": 1}",-,-,breakfast_cereal,breakfast_cereal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,177.44,milliliter,-,-,-,-,-,-,120,2,25,-,-,-,-,3,-,-
33,"{""fruit__tropical__grapefruit"": 1, ""fruit"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,-,-,119.00,gram,-,-,0.50,grapefruit,60,0,13,-,-,-,-,1,-,-
34,"{""egg_dairy__egg"": 1, ""egg_dairy"": 1, ""egg_dairy__egg__egg"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,egg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50,egg,105,6,1,-,-,-,-,9,-,-
35,"{""meat__pork__pork"": 1, ""preparation__non_heat__cured"": 1, ""meat"": 1, ""meat__pork__bacon"": 1, ""preparation"": 1, ""meat__pork"": 1, ""preparation__non_heat"": 1, ""preparation__fat__pan_fried"": 1, ""preparation__fat"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,pork,-,-,-,-,-,-,-,-,-,-,-,-,preparation,fat,-,-,-,-,-,-,2.00,slice,84,6,0,-,-,-,-,6,-,-
36,"{""fruit__tropical__guava"": 1, ""fruit"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,120,1,39,-,-,-,-,1,-,-
37,"{""preparation__fat__sauteed"": 1, ""vegetable__fruits__zucchini"": 1, ""preparation"": 1, ""vegetable__fruits__squash"": 1, ""vegetable"": 1, ""preparation__fat"": 1, ""vegetable__fruits"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,preparation,fat,118.29,milliliter,-,-,-,-,-,-,130,5,5,-,-,-,-,1,-,-
38,"{""beverage"": 1, ""beverage__alcohol"": 1, ""beverage__alcohol__wine"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283.50,gram,-,-,-,-,250,0,8,-,-,-,-,0,-,-
39,{},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.00,piece,210,8,33,-,-,-,-,3,-,-
40,"{""dessert__pies__key_lime_pie"": 1, ""dessert"": 1, ""dessert__pies"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,pies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,slice,310,17,36,-,-,-,-,5,-,-
41,"{""side_dish"": 1, ""side_dish__salad"": 1, ""side_dish__salad__salad"": 1}",-,-,-,-,side_dish,salad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134.66,gram,-,-,-,-,80,5,8,-,-,-,-,1,-,-
42,"{""fruit__temperate"": 1, ""fruit"": 1, ""fruit__temperate__apple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,temperate,-,-,-,-,-,-,-,-,154.00,gram,-,-,1.00,medium,80,0,22,-,-,-,-,0,-,-
43,"{""fruit__temperate"": 1, ""meat"": 1, ""fruit__temperate__apple"": 1, ""fruit"": 1, ""meat__sausage"": 1, ""meat__sausage__sausage"": 1, ""meat__poultry"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,fruit,temperate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,13,3,-,-,-,-,13,-,-
44,"{""dietary_supplement__bodybuilding_supplements__protein_bar"": 1, ""condiment__condiment__peanut_butter"": 1, ""dessert__confectionery__chocolate"": 1, ""condiment__condiment"": 1, ""dietary_supplement__bodybuilding_supplements"": 1, ""dessert__confectionery"": 1, ""dessert"": 1, ""dietary_supplement"": 1, ""condiment"": 1}",dietary_supplement,bodybuilding_supplements,-,-,-,-,condiment,condiment,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.00,gram,-,-,1.00,bar,200,6,16,-,-,-,-,20,-,-
45,"{""egg_dairy"": 1, ""fruit__berry__strawberry"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,170.10,gram,-,-,-,-,140,0,20,-,-,-,-,14,-,-
46,"{""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""dessert__confectionery__caramel"": 1, ""vegetable__podded_vegetables__peanut"": 1, ""vegetable"": 1, ""vegetable__podded_vegetables"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,podded_vegetables,-,-,-,-,-,-,-,-,-,-,-,-,50.00,gram,-,-,1.00,bar,190,6,17,-,-,-,-,20,-,-
47,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__cracker"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.00,gram,-,-,-,-,120,2,25,-,-,-,-,2,-,-
48,"{""egg_dairy"": 1, ""egg_dairy__dairy_product__cheddar"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.36,gram,-,-,-,-,224,11,27,-,-,-,-,3,-,-
49,"{""dessert__ice_cream"": 1, ""dessert"": 1, ""dessert__ice_cream__ice_cream_sandwich"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,ice_cream,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,414.03,milliliter,-,-,-,-,-,-,110,5,15,-,-,-,-,2,-,-
50,"{""staple__wheat"": 1, ""meat"": 1, ""staple__wheat__sandwich"": 1, ""fast_food_brand"": 1, ""meat__poultry__turkey"": 1, ""fast_food_brand__fast_food__subway"": 1, ""fast_food_brand__fast_food"": 1, ""staple"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,-,-,staple,wheat,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00,inch,1.00,sandwich,280,4,46,-,-,-,-,18,-,-
51,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__cookie"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""dessert__cookies__cooky"": 1, ""fast_food_brand"": 1, ""dessert__cookies"": 1, ""dessert__confectionery"": 1, ""fast_food_brand__fast_food__subway"": 1, ""fast_food_brand__fast_food"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,dessert,confectionery,fast_food_brand,fast_food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.00,gram,-,-,1.00,cookie,220,10,30,-,-,-,-,2,-,-
52,"{""beverage__fruit_juice"": 1, ""beverage__fruit_juice__orange_juice"": 1, ""beverage"": 1}",-,-,-,-,-,-,-,-,beverage,fruit_juice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,110,0,26,-,-,-,-,2,-,-
53,"{""egg_dairy__egg"": 1, ""egg_dairy__egg__egg"": 1, ""egg_dairy"": 1, ""preparation__fat__fried"": 1, ""preparation"": 1, ""preparation__fat"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,egg,-,-,-,-,-,-,-,-,-,-,preparation,fat,-,-,-,-,-,-,2.00,large,185,14,1,-,-,-,-,13,-,-
54,"{""meat__shellfish__oyster"": 1, ""meat"": 1, ""meat__shellfish"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,shellfish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.00,medium,57,2,3,-,-,-,-,6,-,-
55,"{""preparation__dry"": 1, ""preparation__dry__seared"": 1, ""meat"": 1, ""meat__shellfish__scallop"": 1, ""preparation"": 1, ""meat__shellfish"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,shellfish,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,-,-,-,-,2.00,large,420,8,18,-,-,-,-,58,-,-
56,"{""fruit__temperate"": 1, ""fruit__temperate__apricot"": 1, ""fruit"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,temperate,-,-,-,-,-,-,-,-,50.00,gram,-,-,-,-,121,0,31,-,-,-,-,2,-,-
57,"{""dessert__confectionery"": 1, ""dessert"": 1, ""dessert__ice_cream"": 1, ""dessert__confectionery__caramel"": 1, ""dessert__ice_cream__ice_cream"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,ice_cream,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,container,260,16,24,-,-,-,-,4,-,-
58,"{""egg_dairy"": 1, ""meat"": 1, ""meat__shellfish__lobster"": 1, ""egg_dairy__dairy_product__cheese"": 1, ""meat__shellfish"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,shellfish,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,portion,540,31,37,-,-,-,-,29,-,-
59,"{""beverage__alcohol__cocktail"": 1, ""beverage"": 1, ""beverage__alcohol"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.40,gram,-,-,-,-,191,0,4,-,-,-,-,0,-,-
60,"{""dessert"": 1, ""dessert__custards"": 1, ""dessert__custards__cheesecake"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,custards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.70,gram,-,-,-,-,182,13,14,-,-,-,-,3,-,-
61,"{""fruit"": 1, ""fruit__berry"": 1, ""fruit__berry__strawberry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,86.00,gram,-,-,-,-,28,0,7,-,-,-,-,1,-,-
62,"{""vegetable"": 1, ""vegetable__podded_vegetables"": 1, ""vegetable__podded_vegetables__peanut"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,podded_vegetables,-,-,-,-,-,-,-,-,-,-,-,-,28.35,gram,-,-,34.00,piece,160,14,5,-,-,-,-,7,-,-
63,"{""dessert__confectionery"": 1, ""dessert"": 1, ""dessert__confectionery__toffee"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.35,gram,-,-,-,-,130,5,20,-,-,-,-,2,-,-
64,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__cookie"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""nut_seed"": 1, ""dessert__cookies__cooky"": 1, ""nut_seed__nut"": 1, ""dessert__cookies"": 1, ""dessert__confectionery"": 1, ""nut_seed__nut__nut"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nut_seed,nut,-,-,-,-,-,-,-,-,-,-,3.00,cookie,360,21,42,-,-,-,-,6,-,-
