userid,foodid
8345, 2521 1176 534 25 1669 33 969 563 888 80 262 691 394 821 645 739 522 11 644 1748
157, 347 1536 567 771 534 30 342 109 249 455 3670 380 136 777 1274 1561 118 3738 210 838
159, 34 90 3586 233 30 134 1256 464 293 1889 888 1234 691 1628 1154 1299 262 1218 109 921
8353, 18 425 689 25 423 597 462 201 42 2033 484 389 289 198 1042 812 468 1584 436 266
8354, 274 1655 625 613 353 28 132 1967 475 113 2033 985 1398 1585 2802 147 388 779 2020 1773
8356, 19 940 838 741 8 908 1288 1399 453 2613 1153 455 577 1680 198 2864 882 1924 293 1096
8357, 611 2000 12 487 1261 1264 772 293 889 348 1635 129 389 1274 2208 712 246 2020 452 807
168, 136 1134 242 1082 82 755 146 1051 12 532 763 356 1935 606 513 1362 1288 155 38 1206
173, 84 747 501 1365 654 362 1256 2550 394 1033 597 339 1044 1315 1948 891 1071 193 1351 3251
174, 110 403 916 369 625 3028 1705 1044 626 2195 293 262 1304 1263 11 188 1113 440 246 807
175, 304 1740 565 2020 465 754 394 776 413 2392 580 443 643 2000 1694 2153 954 1369 709 1618
8371, 17 452 899 389 265 413 646 638 1264 677 1907 858 8 889 56 229 1306 1553 87 665
180, 109 407 2252 53 1333 1351 295 2005 584 978 1552 710 721 501 1935 1096 1492 2153 1587 1748
181, 2602 1624 60 175 837 815 535 668 1105 242 2387 484 1523 388 1274 2225 403 628 1264 793
8377, 209 355 2005 1474 677 754 364 352 1834 1470 1028 3 337 803 266 1221 534 1948 1552 407
8378, 691 3586 1705 737 52 2254 393 828 731 1585 630 342 247 1599 96 1352 132 952 3 1084
190, 107 1221 19 665 863 918 269 638 30 2145 440 484 152 1907 29 549 691 1082 771 2233
191, 107 24 105 1155 260 242 324 81 2195 936 574 272 2730 1719 1624 17 973 125 295 663
8384, 532 2102 295 484 985 971 2521 947 266 414 68 2167 436 93 963 1042 935 822 317 537
194, 453 253 842 355 274 1585 522 1299 549 849 977 2392 597 392 403 765 3247 628 287 845
552, 626 107 25 1155 179 451 1553 645 209 109 206 625 720 217 448 294 354 2020 12 1134
200, 94 501 1274 776 616 534 3586 1452 134 2005 341 392 611 330 6 576 718 334 822 509
8394, 654 625 1168 1082 863 606 954 317 427 27 777 628 1096 1212 754 453 665 19 1967 262
204, 936 204 464 669 606 86 618 38 353 1369 109 969 721 1142 494 611 1294 6 910 1206
8397, 42 19 102 81 289 418 574 563 1804 83 216 364 1041 355 1212 2053 891 82 290 497
8398, 1130 216 209 1044 42 41 82 14 1315 221 845 1205 970 1294 2053 2020 468 918 308 354
8399, 338 468 19 654 439 445 549 134 537 1470 891 25 1405 847 1399 348 1154 308 849 1474
210, 389 376 219 971 1651 1445 33 484 580 765 1032 179 2521 2303 1470 2467 721 664 591 618
211, 1754 67 1948 1408 339 2073 27 910 71 327 765 982 1559 2177 973 304 3186 56 1091 256
8404, 330 2102 1405 755 19 1298 455 954 807 2188 76 3729 126 1205 2590 3438 1335 317 2605 563
215, 576 14 888 353 1299 217 363 2176 96 51 726 28 2550 85 606 42 730 1044 295 618
8408, 838 219 1392 269 665 509 1333 982 1889 476 246 342 1300 1033 436 1719 353 2001 61 1586
8410, 1405 721 219 25 973 921 611 690 105 193 1301 1084 354 749 69 1264 369 1096 267 1660
219, 1398 1071 1359 652 837 958 2550 79 90 3586 2730 1365 580 918 769 904 383 33 1628 403
8413, 837 139 689 56 645 1907 112 350 462 2549 1478 1041 353 1146 206 407 327 708 677 362
8416, 307 1084 1645 1113 60 1669 1719 90 1618 563 737 452 1238 2252 1016 1458 207 766 509 212
226, 273 219 1719 353 362 69 891 262 534 690 709 14 2033 1294 132 1105 494 899 394 5
228, 25 2602 1650 737 748 691 217 261 1300 453 793 845 584 1719 193 1474 1470 435 504 776
8421, 821 616 858 41 837 71 2073 129 1458 1779 384 1288 802 2633 826 1719 1771 1113 125 888
230, 2054 2602 815 179 2177 295 324 453 201 269 1740 350 548 1151 211 1047 787 1076 1179 721
233, 34 331 1221 514 355 216 803 1256 915 287 867 315 2550 175 1527 41 2900 1835 1530 295
8430, 936 787 443 859 188 2521 330 1155 1924 755 687 2467 1452 863 3731 1891 1470 849 550 889
8434, 1105 826 2195 132 2521 847 597 1071 90 3586 443 535 644 2254 277 1837 24 402 2102 388
246, 34 147 1333 849 357 139 640 225 721 181 440 2613 1061 348 1680 952 358 392 2000 689
8440, 476 42 19 1940 368 423 643 1411 110 41 61 847 1264 309 3032 84 1299 812 1096 943
8441, 757 534 8 407 259 665 522 1263 669 452 413 362 973 377 938 654 514 2529 56 1071
8442, 1837 1452 99 534 2602 348 1205 943 224 664 2000 304 249 910 1771 858 1299 127 338 123
8446, 179 863 28 1084 12 1929 1697 769 1655 1650 350 1022 535 710 2550 376 476 613 1359 566
8447, 107 307 80 501 1 122 229 1924 3586 455 2590 763 1155 48 2292 2550 1405 2602 475 223
258, 147 102 462 108 1256 350 963 6 994 522 919 501 293 376 2613 1096 425 1130 513 473
262, 18 1452 669 2233 947 200 1084 757 394 273 613 765 81 1168 173 2208 859 1151 529 910
263, 56 106 1294 269 304 353 84 427 992 899 1405 262 1586 1299 93 295 3729 136 17 1032
8457, 1234 355 42 304 563 1527 331 1333 2900 2195 510 591 1335 1 302 63 798 921 1948 185
8458, 613 201 1361 233 377 1470 2723 2229 247 1650 84 712 1978 2440 207 82 891 452 624 747
268, 510 331 207 1561 921 452 44 583 210 609 1835 568 2515 2503 383 513 1579 954 2509 216
8462, 1033 155 468 2005 2233 1134 1095 1205 821 1552 28 845 664 2733 198 175 2277 1274 338 1351
8463, 174 221 14 189 409 1612 1085 664 1084 2026 1351 846 2237 1775 576 1151 1697 2613 1935 1288
272, 25 613 668 417 487 380 110 445 403 513 1134 439 482 133 233 935 842 1470 1135 1234
8466, 216 107 1530 567 198 522 133 935 295 81 1524 1948 1566 448 427 918 510 514 134 606
275, 388 1095 439 3247 455 731 1113 537 2225 51 638 1754 246 576 134 2467 380 466 2000 2233
278, 259 80 180 61 107 1085 935 535 947 88 68 179 828 76 38 644 27 4 899 213
8473, 762 407 1080 918 353 1185 1352 253 1071 776 842 2177 417 110 863 443 1492 48 170 369
282, 139 1618 636 1256 487 597 29 451 537 2392 826 2005 42 449 44 348 392 249 3166 730
8478, 179 1939 253 1134 935 247 134 427 475 170 1761 907 1427 616 1256 25 845 1162 973 2000
292, 76 188 134 1206 1474 737 522 1151 650 2292 1761 1261 645 253 593 1405 482 38 274 820
8485, 1306 1305 383 260 1151 45 289 2864 815 2005 888 720 837 762 269 1948 465 113 867 556
8491, 574 1536 513 867 690 2020 2900 347 510 691 514 228 815 2566 1530 433 939 534 210 1566
303, 383 380 1470 919 643 1427 1411 618 2626 572 113 323 1585 837 394 181 338 436 11 273
307, 44 25 22 376 889 423 847 613 654 2120 8 1834 849 445 6 341 1336 1264 43 2331
8501, 34 61 207 105 425 731 1628 2392 2626 807 449 566 1105 125 1333 1651 1199 211 473 1361
310, 228 87 947 1586 307 147 537 123 1817 2225 726 566 287 606 626 427 209 247 2177 440
8503, 139 25 376 726 1096 2085 90 393 1361 291 334 273 708 1408 1365 230 1 2177 565 14
312, 1584 938 494 1051 8 139 509 425 1600 847 899 762 364 915 468 1834 356 61 549 99
8508, 574 1130 347 14 615 1527 514 2491 700 1083 181 555 195 584 1569 1309 200 595 439 1365
8509, 463 362 513 2225 1797 1402 433 1923 730 1492 1162 652 3045 1154 1655 2550 701 464 2215 195
318, 273 295 25 107 613 42 409 567 1553 1221 690 1299 867 708 334 209 350 2566 625 2
322, 721 580 845 204 2730 266 109 2252 207 534 76 213 936 563 620 762 613 19 99 188
324, 323 452 484 1263 724 1300 14 609 155 317 2233 504 1740 60 947 1033 132 1006 630 311
8517, 837 362 5 1304 200 376 67 524 535 935 654 2102 38 756 849 463 674 618 1051 2550
8520, 201 1033 425 1780 242 1361 1754 352 501 565 858 2167 246 497 1154 1146 14 531 440 618
8521, 34 331 514 207 565 2515 210 930 42 769 1561 568 2503 3461 1113 2268 1948 2509 216 616
331, 567 331 302 446 339 510 1399 1561 357 665 625 67 568 566 756 93 204 513 315 754
8524, 25 353 441 891 229 12 934 1645 273 346 1041 1134 899 1411 737 807 1309 480 1585 677
333, 1294 1082 531 1105 565 2054 1645 2590 450 994 1042 1263 609 2085 1867 198 717 721 3247 2388
334, 25 1221 847 1288 19 414 1298 765 1907 155 663 1274 889 2292 192 228 787 618 2337 198
335, 80 1155 908 1474 1095 11 1176 427 1907 266 445 56 690 1559 718 108 1105 476 580 198
8528, 644 1288 1587 577 60 218 246 2605 324 765 2195 475 1427 899 1256 108 1967 1155 3019 1205
338, 19 812 1335 1352 1080 1298 858 1084 2153 1771 1452 443 1891 995 218 118 1427 147 772 954
341, 535 618 443 2602 2145 347 549 337 60 65 27 2197 113 898 849 354 266 1917 943 476
342, 423 338 1256 643 96 918 771 272 842 2225 307 665 3586 122 388 287 898 563 611 1352
8537, 453 1084 273 654 2102 1333 1403 330 1315 1705 111 1451 2225 1715 260 503 1948 439 2337 3028
346, 260 1288 436 497 1890 765 2190 2102 2354 29 2331 1202 395 749 4365 1305 646 845 1837 720
350, 574 1694 136 798 347 80 408 1299 510 726 423 389 409 1553 613 1536 1804 331 1264 838
351, 566 229 334 82 277 304 943 907 882 1288 111 427 1498 384 538 358 2020 563 423 710
353, 25 34 18 266 1403 482 616 341 48 2109 1967 915 33 763 118 94 835 613 545 1822
354, 1298 1155 323 440 1804 295 777 2642 399 611 2145 1352 85 958 497 580 1478 218 464 1612
357, 1939 2613 295 1274 919 35 350 613 497 2208 1945 377 1924 1365 2483 846 2005 2602 970 1105
8550, 42 107 269 136 1754 396 67 476 323 952 376 293 611 109 938 166 354 625 27 504
359, 904 207 784 323 2020 747 754 102 837 295 935 418 845 473 1130 807 2177 805 580 545
361, 139 14 25 289 645 219 1051 845 19 494 802 778 376 784 61 442 846 1889 312 754
364, 754 27 181 209 204 2167 353 355 970 522 1761 1669 1306 1113 1940 188 826 1248 347 392
365, 339 815 665 1458 726 218 94 2602 910 908 994 224 3438 1300 369 61 358 613 1051 3027
8559, 482 17 2000 1748 537 14 663 532 704 462 1474 1398 408 643 342 769 763 242 1835 2613
8560, 324 388 452 2626 218 935 1304 394 436 815 43 669 132 61 1234 28 1298 1352 591 963
8561, 132 179 185 304 418 863 1294 38 645 620 1080 1046 638 1697 628 235 520 102 236 1705
370, 19 1221 87 350 96 2053 119 383 624 958 1398 822 496 1113 2160 618 242 845 638 1474
8564, 376 846 887 1082 828 62 2602 580 710 228 1660 133 388 1263 99 111 395 882 30 391
8568, 1298 889 643 721 779 503 1143 308 1458 291 1408 3617 346 842 2302 437 1018 599 611 450
8572, 2197 963 1608 908 888 334 3586 99 846 1168 236 388 313 1963 1427 611 2864 792 33 2292
8577, 34 118 33 726 399 1016 534 1748 888 354 484 529 12 269 455 389 969 81 2549 1628
8578, 18 27 34 509 304 19 616 1719 439 105 1584 952 80 2605 1181 1771 127 81 3729 649
389, 269 777 1365 80 1618 12 1264 506 2864 849 771 576 1585 497 1361 170 1351 719 1080 109
390, 606 269 1756 1096 977 535 943 847 2188 2000 453 496 1084 262 201 1205 1678 339 951 766
8585, 2020 41 899 1748 418 620 109 307 218 663 756 1754 47 102 935 1935 1474 782 1071 891
395, 1105 1492 766 1008 2137 1907 2271 1210 770 514 2590 2642 669 1071 269 1965 930 395 954 7
397, 787 616 1470 269 1362 80 915 1288 899 721 849 1051 52 591 741 2277 272 724 1047 2331
398, 207 755 936 535 1080 2549 771 173 307 1113 24 943 1250 1008 30 1261 2051 241 618 1655
399, 80 707 821 757 1470 838 522 341 2626 129 1306 1362 534 423 992 313 609 468 1585 963
8595, 107 1288 1333 56 69 1248 197 668 110 80 1492 2730 882 53 1967 940 406 2000 409 162
405, 42 436 81 1221 306 1105 152 278 1249 1256 597 94 899 1042 982 891 566 287 2085 741
406, 755 242 107 80 42 1365 845 61 427 624 122 1576 847 668 487 1335 307 76 1155 904
408, 33 204 591 606 849 134 2177 308 908 62 820 1424 2308 719 622 197 2529 330 747 4
8601, 107 522 331 82 567 539 1343 769 1298 2900 700 935 1288 613 342 518 569 803 622 181
411, 606 192 29 1351 1248 61 389 720 691 806 425 241 3027 1618 1210 439 102 882 1298 444
413, 943 473 455 1651 994 689 1978 487 839 807 414 111 200 206 721 620 803 394 12 1585
8606, 107 102 80 849 193 453 1288 1168 445 1669 1134 841 707 535 1365 211 61 2020 1096 1305
417, 646 364 915 503 24 952 497 381 475 2153 924 423 2252 1019 1458 2102 260 278 1300 1205
8610, 7 1298 398 907 41 1051 1359 17 755 1435 348 404 2521 1948 522 85 262 940 1694 427
419, 41 212 863 821 1256 1635 556 468 61 114 1978 747 1628 613 5 3438 2188 6 181 2020
8615, 392 849 1492 307 246 3247 171 1082 381 179 1176 1283 908 229 482 170 407 188 532 484
424, 33 45 403 473 223 24 882 636 452 1146 38 2195 532 763 1458 1263 482 1754 704 2704
8617, 240 139 82 283 56 179 891 289 939 425 822 522 1804 497 14 1967 340 889 346 606
8621, 364 341 1085 242 566 334 1084 323 1042 1240 1728 838 1891 597 584 522 3848 2826 247 3247
430, 664 644 1628 888 228 1071 1924 1044 193 256 295 969 99 2613 249 1041 1618 274 247 722
432, 2225 376 1176 518 3200 309 2208 399 30 132 338 978 1193 1153 916 1586 803 822 535 2733
8625, 766 28 1256 635 690 94 936 132 44 2331 2704 3586 1403 2145 484 765 1042 389 1694 813
8626, 19 1530 539 302 563 107 510 289 124 8 1298 748 52 904 1033 1536 340 256 916 529
8627, 535 1586 1618 522 68 377 204 1146 96 1205 2521 2195 622 347 2026 2550 640 1645 414 496
8629, 107 663 1294 475 462 2153 1261 535 777 1474 1155 192 443 2054 821 198 611 2085 1234 778
440, 846 820 423 1298 287 943 762 1930 433 730 566 389 2120 127 1924 383 2177 291 891 2642
8634, 509 413 2033 2576 822 1071 42 755 915 721 277 919 2605 323 1210 1351 475 266 307 490
446, 425 899 606 1399 940 1042 664 1754 1797 518 1651 1352 346 59 449 652 1715 3586 2005 845
451, 532 269 146 2215 748 277 109 535 85 2190 1748 1071 443 970 1105 1003 842 3438 954 624
8645, 769 807 122 346 136 388 1210 193 963 423 204 707 212 784 350 2145 602 408 837 414
459, 41 425 772 1586 79 2026 969 1300 287 616 107 828 609 821 3586 2167 1206 1154 934 462
8653, 330 2102 81 84 1492 449 2602 323 918 2435 520 244 469 611 1585 1299 27 908 1967 1212
462, 2177 1304 1210 2000 408 147 354 93 1585 2153 532 338 2277 2730 2281 1274 357 1205 645 260
8656, 216 436 567 620 446 539 376 94 513 3670 858 1306 731 646 224 1369 210 514 906 122
473, 139 1874 1263 2636 1032 99 466 1587 323 1176 338 509 704 1366 155 630 832 1205 253 1362
475, 1361 350 1299 726 2020 461 668 947 2550 291 625 1151 935 739 2197 566 45 403 748 755
476, 80 346 1333 1134 99 2102 618 2177 60 1694 611 1169 2847 915 2000 2467 425 1474 719 812
479, 858 847 1042 1261 418 353 580 943 1212 1552 188 397 754 1427 2006 548 1134 1095 918 935
8675, 613 1470 1113 468 501 1411 1306 99 535 1754 1261 2167 56 364 33 44 1797 1002 297 1154
485, 1651 452 973 971 28 563 645 813 136 1492 755 2605 951 1151 849 111 212 936 291 304
8679, 25 567 620 302 273 347 2005 1694 1645 2056 539 331 846 2900 938 2440 1083 625 248 111
494, 18 42 34 82 513 918 228 584 846 534 2195 2120 754 858 404 291 769 283 490 1176
8687, 346 323 1299 439 1628 992 910 248 977 219 134 597 842 99 3571 951 293 721 1288 2176
496, 1530 2005 511 210 1536 1566 1561 331 3670 453 731 615 2503 1804 448 1524 798 338 482 1306
500, 826 377 2704 700 414 690 1754 44 3552 2387 1349 3200 645 630 1256 43 289 977 28 388
502, 1144 1734 1143 2549 1071 501 188 1719 1305 8 1361 1618 591 1333 710 2292 19 1168 749 532
8696, 34 216 2005 625 798 440 567 225 82 838 2900 609 867 127 769 910 664 134 294 211
8697, 1628 1071 247 624 2730 242 3210 2215 2020 1754 970 576 504 381 30 1263 936 597 364 599
507, 355 1299 1301 1834 772 266 87 828 464 691 248 295 538 978 3729 904 1136 337 1162 713
8700, 34 626 2020 1274 677 908 721 455 580 846 573 2225 1315 1359 427 1628 1146 625 518 537
8701, 139 304 82 510 2900 417 111 1530 3081 295 198 2509 838 2417 33 1309 541 2613 1046 1366
510, 1051 41 921 334 977 269 376 211 2000 1719 323 891 1584 565 2730 784 297 113 2590 1028
511, 41 643 1288 731 272 330 381 710 19 2467 778 3729 769 921 473 754 1552 246 1427 513
512, 34 102 940 755 41 1261 2005 1669 1628 262 534 423 384 445 260 638 403 2292 707 17
8706, 204 80 29 504 473 1346 798 1403 1018 33 1306 606 338 908 1635 266 496 147 409 475
8708, 392 33 772 518 826 646 453 1234 229 3028 597 1889 919 96 938 290 1405 846 99 1176
8712, 1740 443 482 178 406 96 1890 721 940 119 2233 161 242 65 777 41 1221 503 1458 1940
522, 940 396 520 1127 423 1948 233 80 1304 793 452 849 181 353 11 503 1044 236 1366 170
523, 81 216 2900 99 446 302 331 1361 838 452 355 1256 1155 1566 982 161 2503 1705 918 615
8717, 591 41 260 61 1369 616 235 42 468 2177 102 147 493 2005 640 2292 763 1294 1018 769
527, 1408 930 99 42 563 403 1365 690 418 2302 1361 1705 1333 2104 473 1336 812 376 276 2636
529, 107 2000 90 317 1559 620 1967 287 2089 1154 1130 256 918 565 891 606 1660 904 1948 576
530, 42 910 3586 731 475 1403 2730 630 290 2197 2613 700 609 1144 524 624 772 616 168 2331
8723, 355 574 930 609 1298 179 510 762 506 1754 123 211 1155 1740 584 346 940 828 210 887
532, 216 969 81 462 324 306 353 383 355 842 930 787 302 1256 766 347 123 326 841 580
8726, 418 247 19 25 407 139 383 1309 265 1411 107 439 726 364 94 815 240 689 246 160
535, 42 1650 218 1274 29 408 1478 413 1240 754 1608 994 1082 751 954 1742 181 56 170 265
536, 591 952 613 1228 132 1299 2730 1095 815 721 134 1411 767 574 1202 1176 973 1669 161 29
543, 1351 606 1033 494 755 1309 1780 107 721 1474 125 2120 201 635 645 846 603 1775 223 2826
544, 324 248 326 462 891 352 266 2195 289 439 1080 962 1399 863 358 2089 730 278 440 155
8737, 34 338 708 3247 1740 248 211 1105 1162 821 1155 27 845 763 1294 1694 382 1113 352 2160
546, 663 147 207 487 2414 199 376 134 242 1924 198 755 1585 907 591 1212 1734 919 545 123
8740, 25 253 1305 204 397 739 1362 820 1176 665 1478 613 423 858 630 1119 1427 755 978 778
549, 2089 904 606 496 958 2302 402 388 56 549 758 1585 545 2576 1144 772 1874 96 1822 1193
550, 82 567 229 1042 510 282 769 1294 302 1536 985 315 665 722 1361 668 772 1561 342 94
8744, 380 977 731 537 99 132 707 1343 261 1306 821 595 388 1051 1797 381 2033 2051 2956 1753
8746, 125 731 858 1651 958 107 1176 44 1333 339 1740 2225 455 93 1352 324 838 1206 3 56
8747, 25 638 645 68 41 504 754 353 566 350 133 179 445 708 376 595 452 125 1096 392
8752, 1288 1365 80 793 847 1628 1113 19 87 425 940 757 188 475 354 1352 256 1748 963 201
8753, 27 34 25 217 2102 1651 668 626 194 80 987 2602 1261 118 219 2956 1669 591 324 209
562, 737 107 1221 645 260 464 19 613 1834 455 358 1403 1669 1948 348 710 776 3019 506 837
8755, 4 645 348 201 99 644 1559 79 863 47 943 707 1264 1221 2229 330 224 908 69 940
8756, 1335 61 708 969 81 364 473 2549 464 1095 207 882 356 1202 136 2145 763 549 1939 1176
8758, 407 947 858 293 1047 841 1044 408 622 42 654 528 223 109 2281 88 242 1853 473 3586
569, 618 518 609 1470 22 936 291 155 1943 201 109 644 61 1458 669 492 219 451 616 1202
8287, 669 1474 1734 8 147 376 802 33 503 826 1697 518 439 721 338 580 1978 919 388 2626
574, 25 19 293 755 1628 721 155 229 451 468 1719 1452 849 606 616 394 1084 291 1750 1199
8768, 1524 567 302 1478 935 1095 136 2900 439 1553 1335 1566 969 304 620 1584 1948 407 826 539
8772, 1315 2153 793 1028 211 2208 719 235 1153 767 2160 197 899 539 17 389 2976 3571 2374 8
8778, 41 341 327 2005 414 108 1256 821 242 47 192 611 69 32 207 131 1176 762 776 677
8780, 18 34 731 61 1470 597 2864 1359 219 112 110 565 952 484 1694 1264 747 350 1780 2053
8782, 216 567 195 520 14 229 599 1294 302 102 1584 514 1536 80 282 210 217 347 2268 1046
592, 324 2208 277 381 762 1991 204 389 1155 994 1080 995 129 1151 24 1221 943 778 513 574
8786, 1628 721 954 1924 904 2225 2102 73 110 821 1261 455 247 213 939 475 1427 1060 958 709
595, 34 69 459 123 418 225 793 107 383 444 828 5 352 609 407 1335 265 377 1044 2005
596, 1474 668 383 497 506 754 269 346 1584 1470 352 32 1264 1028 691 1948 2225 2005 171 38
8790, 1134 566 1470 973 355 858 1130 691 1474 1669 1365 2602 102 506 910 1924 2005 772 904 654
599, 315 282 80 620 248 771 302 511 520 537 446 1584 1530 747 337 839 1566 838 1536 110
