userid,foodid
8286, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
95, 139 107 309 41 402 166 308 212 435 376 69 117 442 96 110 168 80 8 613 261
8292, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
104, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8298, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
108, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
109, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
113, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8307, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
116, 139 107 41 69 402 308 32 96 442 376 8 425 210 613 168 125 1162 436 1369 611
8309, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8311, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8318, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
136, 139 67 69 402 107 8 168 96 212 102 1162 125 309 41 1369 382 611 442 376 19
138, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
143, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
144, 139 107 67 402 309 168 69 102 41 8 1162 96 376 442 210 212 308 19 1369 611
145, 139 67 107 402 69 168 8 96 309 19 102 1162 212 125 41 442 376 611 1369 210
146, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8342, 139 69 19 402 168 212 107 96 8 1162 442 67 41 308 125 210 1369 376 309 382
151, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8344, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8345, 139 19 402 69 212 168 96 107 309 41 8 67 1162 102 376 210 125 308 382 442
157, 139 69 107 402 8 309 67 212 96 168 41 308 102 442 1162 125 166 1369 376 210
159, 139 107 67 402 309 69 41 168 96 212 8 442 1162 308 19 102 125 376 210 611
8353, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8354, 139 107 402 67 168 308 69 8 102 309 1162 442 96 376 125 611 210 1369 117 166
8356, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8357, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
168, 139 67 69 402 107 212 8 168 96 125 102 1162 382 19 309 1369 611 41 308 32
173, 139 67 69 212 402 107 8 96 168 125 1162 102 382 309 1369 611 308 32 41 1983
174, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
175, 139 67 69 107 402 212 8 96 168 125 1162 382 102 1369 41 611 309 308 442 32
8462, 139 67 69 402 107 212 8 168 96 1162 125 102 382 309 1369 611 19 41 308 32
8371, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
180, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
181, 139 402 69 107 442 168 67 210 1162 308 96 8 125 212 376 41 19 611 1369 117
8377, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8378, 139 67 69 107 402 8 212 168 96 1162 125 102 382 309 1369 611 19 41 308 32
190, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
191, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8384, 139 67 69 107 402 212 8 168 96 125 1162 102 382 309 1369 611 19 41 32 308
194, 139 402 107 69 308 168 67 442 41 8 110 96 212 1162 210 376 309 125 611 261
200, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
8394, 139 67 69 107 402 212 8 168 96 1162 125 102 382 309 1369 611 41 19 308 442
204, 139 69 102 168 107 8 402 41 309 96 212 1162 376 308 125 67 210 166 442 19
8397, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8398, 139 67 69 107 402 212 8 168 96 1162 125 102 382 1369 309 611 308 32 19 442
8399, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
210, 139 107 402 69 168 19 67 8 1162 309 96 41 210 102 442 125 308 376 32 611
211, 139 67 69 402 212 107 8 168 96 125 1162 102 382 309 19 1369 611 41 32 308
8404, 139 230 382 67 110 32 18 69 1162 125 212 402 376 8 96 574 102 308 611 201
215, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8408, 139 309 102 67 402 69 212 8 168 96 308 166 1162 107 442 41 376 210 125 1369
8410, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
219, 139 67 69 107 212 402 8 96 168 102 125 1162 309 382 1369 19 611 41 308 376
8413, 139 67 69 107 402 8 212 168 96 1162 125 102 382 309 1369 19 611 41 442 308
8416, 139 309 308 402 210 442 102 110 18 8 107 168 96 125 212 166 230 41 376 32
226, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
228, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8421, 139 67 168 69 402 309 8 442 107 41 308 210 376 1162 96 102 125 611 1369 18
230, 139 102 309 402 168 8 69 96 210 117 67 41 107 166 1162 376 1369 212 442 611
233, 139 67 69 107 402 168 8 309 96 102 212 1162 125 442 41 308 376 611 19 1369
8430, 139 402 69 308 168 309 107 41 442 96 376 8 67 212 1162 435 73 80 117 425
8434, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
246, 139 67 107 69 402 8 168 212 96 1162 125 102 19 382 309 1369 611 442 308 41
8440, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8441, 139 67 402 8 69 107 168 96 308 212 102 442 41 1162 125 210 309 1369 376 611
8442, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
8446, 139 67 402 107 309 168 69 41 96 1162 212 8 308 376 442 19 210 125 102 1369
8447, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
258, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
262, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
263, 139 67 107 69 8 402 168 96 212 1162 125 102 309 41 1369 611 442 382 308 376
8457, 139 69 402 107 168 309 67 442 8 96 210 19 1162 308 102 117 376 125 611 1369
8458, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 19 1369 611 308 32 41
268, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
270, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8463, 139 107 402 69 166 435 168 1162 96 442 309 80 210 8 308 117 1369 67 776 613
272, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8466, 139 19 308 107 402 309 376 442 168 210 67 96 41 435 212 8 69 102 261 166
275, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
278, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8473, 139 107 69 402 41 309 168 8 67 96 1162 102 212 376 442 308 210 110 1369 611
282, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
8478, 139 19 107 69 309 402 96 168 41 8 1162 210 125 442 212 376 1369 611 425 117
292, 139 107 67 69 8 402 168 96 1162 125 212 309 102 1369 611 382 41 442 308 210
8485, 139 41 110 212 309 67 382 69 125 402 308 96 168 32 442 8 1162 261 1369 166
8491, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
303, 139 107 8 69 402 67 168 96 125 102 308 1162 442 309 212 41 1369 611 210 376
307, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8501, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
310, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8503, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
312, 19 139 308 402 102 435 210 107 96 168 8 212 18 309 110 442 117 218 125 1369
8508, 139 67 107 69 8 402 168 96 1162 212 125 611 1369 442 382 102 41 308 309 376
8509, 139 309 67 102 402 168 210 8 96 166 376 442 69 1162 308 125 117 41 1369 212
318, 139 107 67 69 8 402 168 96 1162 125 212 41 309 102 442 1369 611 210 382 308
322, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
324, 139 110 19 308 309 166 212 402 382 41 96 168 353 442 8 435 69 73 963 125
8517, 139 67 69 212 402 107 8 168 96 1162 125 102 382 309 1369 611 19 41 308 376
8520, 139 107 168 69 8 102 402 67 309 96 18 442 376 210 308 425 1162 611 41 1369
8521, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
331, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8524, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
333, 139 107 309 402 67 69 8 168 96 210 1162 442 308 376 166 102 1369 41 611 125
334, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
335, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8528, 139 69 107 67 402 8 168 96 212 125 1162 41 382 308 309 442 19 1369 210 611
338, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
341, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
342, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 1369 19 611 308 41 32
8537, 139 107 67 69 402 8 168 96 1162 19 125 212 309 41 102 442 1369 611 210 382
346, 139 67 69 107 402 8 212 168 96 1162 125 102 309 382 1369 611 41 19 442 308
350, 139 309 308 69 102 402 107 166 67 442 41 168 435 96 376 212 1162 261 8 125
351, 139 107 67 69 402 168 8 96 41 19 212 1162 125 309 102 442 308 210 376 611
353, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 32 308
354, 139 67 69 212 107 402 8 96 168 125 1162 102 382 309 1369 611 19 308 32 41
357, 139 67 69 107 402 8 168 212 96 1162 125 309 102 41 382 1369 19 611 442 376
8550, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
359, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
361, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
364, 139 107 67 69 402 168 8 96 1162 125 102 442 309 212 611 41 1369 376 210 425
365, 139 107 67 168 402 8 69 96 1162 125 442 102 19 309 210 611 1369 212 41 308
8559, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 19 1369 611 308 32 41
8560, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
369, 139 67 107 69 402 8 168 96 212 1162 125 309 102 41 1369 442 611 308 382 376
370, 139 67 107 69 402 8 168 212 96 102 1162 125 309 41 1369 611 382 376 442 308
8564, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8568, 139 19 41 402 212 309 210 69 96 168 376 125 117 102 435 425 8 107 442 32
8572, 139 19 309 69 110 402 168 67 41 212 96 376 308 210 442 1162 125 435 8 382
8577, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
386, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
389, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
390, 139 309 107 402 168 96 8 69 212 67 1162 166 442 102 210 376 41 19 117 1369
8585, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
395, 139 67 69 402 107 168 19 96 309 8 212 1162 125 41 102 442 308 611 1369 376
397, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
398, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
399, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8595, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
405, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
406, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
408, 139 107 110 309 168 210 1162 8 402 96 212 41 442 102 435 308 376 19 117 69
8601, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 19 1369 611 308 32 41
411, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
413, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8606, 139 67 69 107 402 8 212 168 96 1162 125 102 309 41 382 1369 611 442 308 376
417, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8610, 139 67 168 402 107 69 309 442 8 308 96 41 1162 210 102 376 125 611 1369 261
419, 107 743 81 39 230 102 212 18 442 776 19 61 139 224 395 402 167 210 213 898
8615, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
424, 139 107 67 69 402 8 168 96 212 1162 19 125 41 309 611 1369 102 382 442 32
8617, 139 107 67 69 402 8 168 96 1162 125 41 102 442 212 611 1369 309 308 210 376
429, 139 67 69 107 402 212 8 168 96 125 1162 102 382 309 1369 611 19 41 32 308
430, 107 382 8 69 96 210 1162 402 168 19 435 776 425 1369 125 611 442 308 1983 451
432, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8625, 139 19 309 168 402 210 18 41 308 67 376 442 69 1162 96 125 80 8 107 529
8626, 139 67 402 41 69 168 107 212 376 210 96 102 8 117 611 32 309 125 442 1162
8627, 139 67 69 212 402 107 8 168 96 125 1162 102 382 309 1369 611 41 19 308 32
8629, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
440, 139 67 69 402 212 107 8 168 96 125 1162 102 309 382 1369 19 611 41 308 376
8634, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
446, 139 19 67 402 69 168 107 442 1162 96 210 8 308 41 125 309 376 611 212 1369
451, 139 67 69 107 402 8 212 168 96 1162 102 125 309 382 1369 611 19 41 308 442
8645, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8744, 139 69 212 67 8 402 107 96 41 168 125 309 1162 102 382 308 32 1369 442 611
459, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8653, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
462, 139 67 69 107 402 8 212 168 96 1162 125 102 309 382 1369 611 41 19 442 308
8656, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
473, 139 67 107 69 168 8 402 96 1162 125 212 442 611 1369 41 102 308 376 382 309
475, 139 107 309 402 308 110 168 69 96 8 376 442 166 102 210 67 212 41 1162 435
476, 139 67 69 107 8 402 168 96 212 1162 102 125 309 611 1369 382 442 41 308 376
479, 139 402 69 309 168 308 67 442 166 96 376 8 41 1162 210 212 435 102 261 107
8675, 139 67 69 212 107 402 8 96 168 125 102 1162 382 309 1369 611 308 41 32 442
485, 139 67 69 107 402 8 212 168 96 1162 125 102 19 309 382 1369 611 41 442 376
8679, 139 67 107 69 402 8 168 96 212 1162 102 125 382 1369 309 611 19 442 41 308
494, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8687, 139 102 67 168 69 8 107 402 309 96 1162 125 376 442 210 308 1369 611 212 425
496, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
500, 139 67 69 402 107 168 8 96 41 309 1162 102 212 442 125 376 308 210 611 1369
502, 139 168 309 402 67 69 107 8 96 41 376 1162 442 210 102 308 19 125 611 1369
8696, 139 67 69 107 402 8 212 168 96 102 1162 125 309 382 1369 611 41 442 308 19
8697, 139 107 8 67 69 402 168 96 1162 309 210 125 442 102 1369 41 611 425 376 212
507, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8700, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8701, 139 67 69 402 168 107 8 41 96 442 1162 308 376 611 212 125 1369 117 309 102
510, 139 67 69 212 402 107 8 96 168 125 102 1162 309 382 19 1369 611 41 308 32
511, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
512, 139 107 19 309 41 402 308 168 442 210 102 96 8 1369 39 435 376 32 776 69
8706, 139 67 69 107 212 402 8 168 96 125 1162 102 382 309 1369 19 611 41 308 32
8708, 139 67 69 402 168 107 8 96 19 1162 125 212 309 308 382 442 41 102 1369 611
8712, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
522, 139 67 107 69 8 402 168 212 96 1162 125 102 382 19 309 1369 611 442 32 41
523, 139 67 69 402 107 212 8 168 96 125 1162 102 382 309 1369 611 19 41 442 308
8717, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
527, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
529, 139 19 212 41 309 402 308 107 168 435 96 69 442 376 125 210 1162 102 1369 261
530, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8723, 139 67 69 107 402 8 212 168 96 1162 125 41 102 309 611 382 1369 442 376 308
532, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8726, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
535, 139 102 309 402 107 69 8 168 67 19 96 210 1162 125 212 442 41 1369 308 376
536, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
543, 139 107 67 69 8 402 168 96 1162 125 212 309 41 102 442 1369 611 382 308 210
544, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8737, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
546, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8740, 139 67 69 107 8 402 168 96 1162 212 125 611 41 1369 102 442 382 309 32 376
549, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
550, 139 402 308 210 442 69 168 107 309 435 8 41 96 117 80 1369 201 212 613 425
552, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 1369 19 611 308 32 376
8746, 139 67 168 402 107 41 69 8 19 96 125 442 212 1162 309 210 611 1369 102 376
8747, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8752, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8753, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
562, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8755, 139 67 69 212 402 107 8 96 168 125 1162 102 309 382 19 1369 611 41 308 32
8756, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
8758, 139 67 8 168 402 69 107 96 125 442 210 1162 212 611 425 1369 102 376 41 308
569, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8287, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
574, 139 309 102 69 402 212 67 168 96 210 376 1162 8 308 1369 32 425 117 611 125
8768, 139 67 107 69 8 402 168 96 212 1162 125 102 611 1369 382 41 442 425 309 32
8772, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
8778, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8780, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
8782, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
592, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8786, 39 18 308 402 168 210 442 166 139 102 8 309 117 96 425 125 376 807 261 530
595, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
596, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8790, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
599, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
602, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8795, 139 107 67 69 402 8 168 96 1162 125 212 41 309 102 611 1369 442 19 210 425
9658, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
606, 139 67 168 19 402 69 8 107 41 96 309 442 1162 210 125 308 376 212 611 1369
8800, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
610, 139 67 69 107 402 212 8 168 96 1162 125 102 309 382 1369 611 19 41 308 376
613, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
614, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8809, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
8810, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 308 41 32
619, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
621, 139 67 69 212 402 107 8 96 168 102 125 1162 309 382 19 1369 611 41 308 32
8815, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8818, 139 18 19 402 67 168 210 442 376 308 107 1162 80 96 8 117 41 309 125 611
8820, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
8821, 139 67 107 69 168 402 8 96 1162 309 41 125 102 442 376 611 210 1369 212 308
8822, 139 67 69 212 402 107 8 96 168 102 125 1162 382 309 1369 19 611 308 32 41
632, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
633, 139 19 69 435 309 308 402 107 442 168 210 212 376 41 18 125 1162 261 96 80
636, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
8829, 139 67 69 402 107 168 309 8 96 212 102 1162 125 41 308 376 442 1369 611 19
638, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
640, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 308 41 32
642, 139 107 67 69 402 8 168 96 19 212 1162 125 41 382 442 309 1369 308 611 210
645, 139 67 69 212 402 107 8 96 168 102 125 1162 309 19 382 1369 611 41 308 32
648, 139 67 69 212 402 107 8 96 168 125 1162 102 382 309 1369 611 19 308 32 41
